Person,Region,Email ID
Karan Shah,Caribbean,karan04@02karan2001.onmicrosoft.com
Andile Ihejirika,Central Africa,Andile Ihejirikaexample.com
Nicodemo Bautista,Central America,Nicodemo Bautistaexample.com
Cansu Peynirci,Central Asia,Cansu Peynirciexample.com
Lon Bonher,Central US,Lon Bonherexample.com
Wasswa Ahmed,Eastern Africa,Wasswa Ahmedexample.com
Hadia Bousaid,Eastern Asia,Hadia Bousaidexample.com
Lynne Marchand,Eastern Canada,Lynne Marchandexample.com
Oxana Lagunov,Eastern Europe,Oxana Lagunovexample.com
Dolores Davis,Eastern US,Dolores Davisexample.com
Lindiwe Afolayan,North Africa,Lindiwe Afolayanexample.com
Miina Nylund,Northern Europe,Miina Nylundexample.com
Kauri Anaru,Oceania,Kauri Anaruexample.com
Vasco Magalhães,South America,Vasco Magalhãesexample.com
Preecha Metharom,Southeastern Asia,Preecha Metharomexample.com
Nora Cuijper,Southern Africa,Nora Cuijperexample.com
Chandrakant Chaudhri,Southern Asia,Chandrakant Chaudhriexample.com
Gavino Bove,Southern Europe,Gavino Boveexample.com
Flannery Newton,Southern US,Flannery Newtonexample.com
Katlego Akosua,Western Africa,Katlego Akosuaexample.com
Kaoru Xun,Western Asia,Kaoru Xunexample.com
Angela Jephson,Western Canada,Angela Jephsonexample.com
Gilbert Wolff,Western Europe,Gilbert Wolffexample.com
Derrick Snyders,Western US,Derrick Snydersexample.com
